Index,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
1,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r3i1p1f1-NorCPM1,r3i1p1f1-NorCPM1,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r39i1p1f1-MIROC6,r39i1p1f1-MIROC6,r39i1p1f1-MIROC6,r24i1p1f1-MIROC6
2,r3i1p1f1-MIROC6,r3i1p1f1-NorCPM1,r3i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r3i1p1f1-MIROC6,r3i1p1f1-MIROC6,r3i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r24i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r39i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r24i1p1f1-MIROC6,r39i1p1f1-MIROC6
3,r3i1p1f1-NorCPM1,r3i1p1f1-MIROC6,r3i1p1f1-MIROC6,r3i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r3i1p1f1-NorCPM1,r3i1p1f1-NorCPM1,r48i1p1f1-MIROC6,r21i1p1f1-MIROC6,r21i1p1f1-MIROC6,r21i1p1f1-MIROC6,r20i1p1f1-MIROC6,r20i1p1f1-MIROC6,r24i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r1i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r1i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r39i1p1f1-MIROC6,r39i1p1f1-MIROC6,r39i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r8i1p1f1-MIROC6,r3i1p1f1-MIROC6
4,r46i1p1f1-MIROC6,r46i1p1f1-MIROC6,r34i1p1f1-MIROC6,r34i1p1f1-MIROC6,r34i1p1f1-MIROC6,r34i1p1f1-MIROC6,r48i1p1f1-MIROC6,r3i1p1f1-MIROC6,r48i1p1f1-MIROC6,r20i1p1f1-MIROC6,r20i1p1f1-MIROC6,r21i1p1f1-MIROC6,r48i1p1f1-MIROC6,r20i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r44i1p1f1-MIROC6,r8i1p1f1-MIROC6,r48i1p1f1-MIROC6,r11i1p1f1-MIROC6,r11i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r3i1p1f1-MIROC6,r3i1p1f1-MIROC6,r8i1p1f1-MIROC6
5,r42i1p1f1-MIROC6,r16i1p1f1-MIROC6,r16i1p1f1-MIROC6,r16i1p1f1-MIROC6,r5i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r24i1p1f1-MIROC6,r24i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r24i1p1f1-MIROC6,r8i1p1f1-MIROC6,r20i1p1f1-MIROC6,r19i1p1f1-MIROC6,r19i1p1f1-MIROC6,r8i1p1f1-MIROC6,r8i1p1f1-MIROC6,r21i1p1f1-MIROC6,r11i1p1f1-MIROC6,r8i1p1f1-MIROC6,r3i1p1f1-MIROC6,r11i1p1f1-MIROC6,r44i1p1f1-MIROC6,r39i1p1f1-MIROC6,r11i1p1f1-MIROC6,r11i1p1f1-MIROC6,r11i1p1f1-MIROC6,r11i1p1f1-MIROC6,r11i1p1f1-MIROC6,r48i1p1f1-MIROC6,r11i1p1f1-MIROC6,r11i1p1f1-MIROC6
6,r34i1p1f1-MIROC6,r34i1p1f1-MIROC6,r46i1p1f1-MIROC6,r46i1p1f1-MIROC6,r16i1p1f1-MIROC6,r48i1p1f1-MIROC6,r34i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r4i1p1f1-MIROC6,r4i1p1f1-MIROC6,r4i1p1f1-MIROC6,r4i1p1f1-MIROC6,r19i1p1f1-MIROC6,r4i1p1f1-MIROC6,r33i1p1f1-MIROC6,r19i1p1f1-MIROC6,r21i1p1f1-MIROC6,r8i1p1f1-MIROC6,r21i1p1f1-MIROC6,r11i1p1f1-MIROC6,r11i1p1f1-MIROC6,r44i1p1f1-MIROC6,r3i1p1f1-MIROC6,r44i1p1f1-MIROC6,r50i1p1f1-MIROC6,r50i1p1f1-MIROC6,r3i1p1f1-MIROC6,r50i1p1f1-MIROC6,r3i1p1f1-MIROC6,r11i1p1f1-MIROC6,r48i1p1f1-MIROC6,r50i1p1f1-MIROC6
7,r16i1p1f1-MIROC6,r30i1p1f1-MIROC6,r30i1p1f1-MIROC6,r48i1p1f1-MIROC6,r48i1p1f1-MIROC6,r24i1p1f1-MIROC6,r4i1p1f1-MIROC6,r21i1p1f1-MIROC6,r20i1p1f1-MIROC6,r4i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r44i1p1f1-MIROC6,r37i1p1f1-MIROC6,r48i1p1f1-MIROC6,r4i1p1f1-MIROC6,r21i1p1f1-MIROC6,r21i1p1f1-MIROC6,r21i1p1f1-MIROC6,r4i1p1f1-MIROC6,r11i1p1f1-MIROC6,r44i1p1f1-MIROC6,r3i1p1f1-MIROC6,r44i1p1f1-MIROC6,r3i1p1f1-MIROC6,r1i1p1f1-MIROC6,r50i1p1f1-MIROC6,r44i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r50i1p1f1-MIROC6,r3i1p1f1-MIROC6,r2i1p1f1-MIROC6,r2i1p1f1-MIROC6,r50i1p1f1-MIROC6,r48i1p1f1-MIROC6
8,r28i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r4i1p1f1-MIROC6,r4i1p1f1-MIROC6,r24i1p1f1-MIROC6,r12i1p1f1-MIROC6,r4i1p1f1-MIROC6,r24i1p1f1-MIROC6,r37i1p1f1-MIROC6,r37i1p1f1-MIROC6,r44i1p1f1-MIROC6,r19i1p1f1-MIROC6,r33i1p1f1-MIROC6,r48i1p1f1-MIROC6,r4i1p1f1-MIROC6,r33i1p1f1-MIROC6,r11i1p1f1-MIROC6,r44i1p1f1-MIROC6,r8i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r50i1p1f1-MIROC6,r50i1p1f1-MIROC6,r3i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r3i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r50i1p1f1-MIROC6,r50i1p1f1-MIROC6,r2i1p1f1-MIROC6,r2i1p1f1-MIROC6
9,r37i1p1f1-MIROC6,r37i1p1f1-MIROC6,r48i1p1f1-MIROC6,r30i1p1f1-MIROC6,r46i1p1f1-MIROC6,r20i1p1f1-MIROC6,r21i1p1f1-MIROC6,r20i1p1f1-MIROC6,r12i1p1f1-MIROC6,r32i1p1f1-MIROC6,r32i1p1f1-MIROC6,r24i1p1f1-MIROC6,r21i1p1f1-MIROC6,r33i1p1f1-MIROC6,r21i1p1f1-MIROC6,r33i1p1f1-MIROC6,r48i1p1f1-MIROC6,r4i1p1f1-MIROC6,r33i1p1f1-MIROC6,r4i1p1f1-MIROC6,r3i1p1f1-MIROC6,r21i1p1f1-MIROC6,r39i1p1f1-MIROC6,r5i1p1f1-MIROC6,r39i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r3i1p1f1-MIROC6,r44i1p1f1-MIROC6,r44i1p1f1-MIROC6,r2i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1
10,r30i1p1f1-MIROC6,r28i1p1f1-MIROC6,r24i1p1f1-MIROC6,r4i1p1f1-MIROC6,r42i1p1f1-MIROC6,r42i1p1f1-MIROC6,r1i1p1f1-MIROC6,r3i1p1f1-NorCPM1,r3i1p1f1-MIROC6,r12i1p1f1-MIROC6,r24i1p1f1-MIROC6,r15i1p1f1-MIROC6,r10i1p1f1-MIROC6,r21i1p1f1-MIROC6,r48i1p1f1-MIROC6,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r8i1p1f1-NorCPM1,r44i1p1f1-MIROC6,r33i1p1f1-MIROC6,r33i1p1f1-MIROC6,r39i1p1f1-MIROC6,r50i1p1f1-MIROC6,r39i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r5i1p1f1-MIROC6,r2i1p1f1-MIROC6,r44i1p1f1-MIROC6,r33i1p1f1-MIROC6,r33i1p1f1-MIROC6,r33i1p1f1-MIROC6,r14i1p1f1-MIROC6
